 ,X,Y
654,302.212,675.063
655,1134.682,677.652
656,30.919,678.704
657,571.395,681.396
658,288.037,675.038
659,634.957,675.846
660,658.284,679.013
661,736.849,681.617
662,994.321,679.067
663,1029.394,680.381
664,1047.746,681.463
665,1105.566,677.446
666,258.601,680.228
667,69.665,679.150
668,335.001,681.792
669,479.981,689.409
670,449.677,692.143
671,718.956,693.735
672,1017.141,691.914
673,278.645,693.433
674,316.041,691.198
675,67.590,699.452
676,83.116,692.623
677,97.449,694.803
678,243.584,692.618
679,297.275,695.394
680,587.315,695.549
681,551.198,701.872
682,15.275,699.692
683,48.392,701.683
684,344.401,703.007
685,571.621,707.860
686,680.580,708.341
687,1038.139,708.598
688,1144.864,709.185
689,703.863,708.489
690,337.871,711.423
691,817.125,707.699
692,253.423,717.349
693,464.407,714.800
694,89.285,713.172
695,1063.733,717.370
696,278.734,715.966
697,483.909,718.790
698,749.841,719.526
699,841.516,713.863
700,325.634,722.999
701,818.910,720.789
702,548.765,720.346
703,43.868,725.519
704,64.461,728.539
705,106.055,726.158
706,575.652,730.251
707,1154.757,729.645
708,559.487,737.627
709,864.004,734.358
710,89.783,730.764
711,302.645,733.209
712,836.447,732.901
713,364.383,735.666
714,450.879,734.328
715,265.774,740.298
716,338.323,739.116
717,477.752,743.176
718,282.377,742.150
719,243.152,743.563
720,770.012,744.929
721,82.760,751.300
722,108.680,747.508
723,359.656,750.001
724,453.958,753.133
725,416.892,750.255
726,702.738,748.710
727,850.352,751.064
728,66.498,751.902
729,312.571,755.323
730,375.761,752.783
731,287.598,754.544
732,396.770,760.036
733,537.089,756.004
734,1078.518,756.500
735,238.927,758.470
736,757.670,758.924
737,834.170,760.820
738,876.069,761.631
739,563.615,763.776
740,1062.551,761.085
741,727.540,767.505
742,107.094,765.167
743,270.813,766.487
744,431.372,766.235
745,473.918,765.930
746,63.195,770.633
747,856.358,765.786
748,1108.238,773.223
749,412.310,767.890
750,903.359,772.807
751,93.463,772.111
752,288.824,774.539
753,701.143,775.786
754,243.761,773.340
755,254.470,775.220
756,866.277,775.755
757,386.475,775.667
758,780.432,779.522
759,299.602,779.824
760,552.360,783.515
761,889.689,780.147
762,747.257,777.015
763,409.617,780.039
764,116.661,781.940
765,1082.827,783.354
766,77.581,784.987
767,426.575,786.385
768,452.237,793.222
769,753.641,793.227
770,857.250,791.041
771,716.220,790.063
772,264.380,790.958
773,1122.523,790.978
774,93.310,795.218
775,391.486,790.078
776,414.624,791.525
777,65.408,794.580
778,246.513,796.331
779,106.665,794.722
780,279.439,794.219
781,128.670,799.972
782,733.652,798.005
783,1110.823,799.800
784,433.733,803.858
785,768.021,799.289
786,1139.650,804.203
787,885.555,804.913
788,902.801,804.536
789,1099.718,804.258
790,273.032,806.891
791,412.038,809.960
792,780.297,810.498
793,863.700,818.242
794,80.596,815.740
795,103.979,815.134
796,259.668,812.786
797,62.485,818.087
798,449.036,815.356
799,740.773,816.330
800,894.617,819.577
801,403.538,824.716
802,566.245,823.878
803,1125.933,822.150
804,131.036,820.905
805,761.913,824.262
806,909.928,824.159
807,583.931,823.579
808,448.457,835.261
809,1110.240,830.723
810,258.876,835.636
811,105.637,834.103
812,429.707,833.331
813,740.773,836.274
814,1139.719,836.033
815,138.243,836.027
816,890.905,836.113
817,920.302,838.855
818,123.149,841.543
819,586.868,839.591
820,875.929,847.746
821,84.762,847.904
822,105.149,850.805
823,1121.872,850.624
824,426.206,850.613
825,934.259,853.287
826,137.815,853.589
827,575.771,856.203
828,454.765,854.958
829,598.054,858.488
830,1146.939,861.763
831,441.411,866.491
832,565.043,866.929
833,894.576,868.373
834,475.167,868.852
835,146.304,869.784
836,421.655,866.158
837,929.364,869.328
838,85.742,877.675
839,101.944,873.557
840,1127.282,876.053
841,368.576,879.648
842,606.079,874.082
843,586.248,877.918
844,919.274,877.605
845,428.209,881.458
846,1149.016,878.634
847,283.570,891.113
848,121.868,887.141
849,576.071,886.027
850,610.785,891.309
851,1133.023,887.829
852,106.730,890.134
853,893.679,896.496
854,462.239,890.808
855,499.803,890.759
856,938.500,893.739
857,479.697,895.891
